Username,Role,Status
SHANI,assistant,Active
SANCHITA,assistant,Active
RAJA,assistant,Active
PRAMOTH,assistant,Active
NITIN,assistant,Active
MUKHEELA,assistant,Active
LAVANYA,assistant,Active
ARCHANA,assistant,Active
ANSHIKA,assistant,Active
KAJAL,assistant,Active
RESHMA,assistant,Active
op3kajal_thedentalbond.com,assistant,Inactive
DR.SHIFA,doctor,Active
DR.KALPANA,doctor,Active
DR.FARHATH,doctor,Active
DR.SHRUTI,doctor,Active
DR.HUSAIN,doctor,Active
DRHUSAIN,doctor,Inactive
reception1_thedentalbond.com,frontdesk,Active
Reception_1,frontdesk,Inactive
SPOIDERMON,admin,Active
admin,admin,Active
